Score	Number of occurrences	Relative Frequency
90	21595	62.36
95	3747	10.82
80	3702	10.69
70	1457	4.21
85	1292	3.73
60	362	1.05
100	2305	6.66
40	38	0.11
20	22	0.06
30	25	0.07
50	68	0.2
10	13	0.04
0	3	0.01
